unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.60E+12,2020-10-02 00:00,BTC/USDT,10619.13,10664.64,10374,10570.4,50130.39371,526864379.3,777193
1.60E+12,2020-10-01 00:00,BTC/USDT,10776.59,10920,10437,10619.13,60866.33289,652168989.5,794855
1.60E+12,2020-09-30 00:00,BTC/USDT,10840.58,10849.34,10665.13,10776.59,39596.02732,425279696.3,595383
1.60E+12,2020-09-29 00:00,BTC/USDT,10696.11,10867.54,10635.87,10840.48,41874.8984,449345822.5,587576
1.60E+12,2020-09-28 00:00,BTC/USDT,10774.26,10950,10626,10696.12,50095.25173,544463219.6,686664
1.60E+12,2020-09-27 00:00,BTC/USDT,10728.59,10799,10594.82,10774.25,30549.48325,327169249.5,516004
1.60E+12,2020-09-26 00:00,BTC/USDT,10686.57,10820.94,10644.68,10728.6,28420.83666,304511477.7,502670
1.60E+12,2020-09-25 00:00,BTC/USDT,10736.33,10760.53,10556.24,10686.67,48101.11701,512647249.1,733430
1.60E+12,2020-09-24 00:00,BTC/USDT,10241.46,10795.24,10190.93,10736.32,57676.61943,604520870.1,789282
1.60E+12,2020-09-23 00:00,BTC/USDT,10529.61,10537.15,10136.82,10241.46,51876.56808,539362015.2,774391
1.60E+12,2020-09-22 00:00,BTC/USDT,10417.22,10572.71,10353,10529.61,43991.23548,460362500.7,738576
1.60E+12,2020-09-21 00:00,BTC/USDT,10920.28,10988.86,10296.35,10417.22,70683.43118,751020795.2,1028531
1.60E+12,2020-09-20 00:00,BTC/USDT,11080.64,11080.64,10723,10920.28,39157.92257,426815210.8,646329
1.60E+12,2020-09-19 00:00,BTC/USDT,10933.4,11179.79,10887.37,11080.65,38440.03686,423651901.2,620127
1.60E+12,2020-09-18 00:00,BTC/USDT,10940,11038.03,10812.84,10933.39,47266.72828,516147935.7,717371
1.60E+12,2020-09-17 00:00,BTC/USDT,10954.01,11045.46,10745.83,10939.99,55601.61453,605010288.8,829137
1.60E+12,2020-09-16 00:00,BTC/USDT,10785.23,11093,10661.22,10954.01,64991.51244,708644989.5,884153
1.60E+12,2020-09-15 00:00,BTC/USDT,10671.77,10930.04,10606.48,10785.31,61822.45279,666457161.1,893852
1.60E+12,2020-09-14 00:00,BTC/USDT,10332.84,10750,10212.34,10671.77,67059.29136,706175591.4,828957
1.60E+12,2020-09-13 00:00,BTC/USDT,10440.67,10580.11,10200,10332.83,43837.60987,455338605.3,692439
1.60E+12,2020-09-12 00:00,BTC/USDT,10387.89,10477.97,10269.25,10440.92,35379.1531,366912671.4,577724
1.60E+12,2020-09-11 00:00,BTC/USDT,10336.86,10397.6,10200,10387.89,43830.25447,451241002.7,637869
1.60E+12,2020-09-10 00:00,BTC/USDT,10219.29,10483.35,10070.83,10336.87,58253.75375,602390078.5,851877
1.60E+12,2020-09-09 00:00,BTC/USDT,10126.66,10343,9981.01,10219.2,49347.11378,503082625.2,755560
1.60E+12,2020-09-08 00:00,BTC/USDT,10373.45,10438,9850,10126.65,73491.87842,742947902,1048125
1.60E+12,2020-09-07 00:00,BTC/USDT,10255.89,10410.75,9875,10373.44,62620.23068,634278537.8,927363
1.60E+12,2020-09-06 00:00,BTC/USDT,10166.69,10347.14,9994.86,10256.2,56368.78882,574903000.2,1053192
1.60E+12,2020-09-05 00:00,BTC/USDT,10446.25,10565.68,9825,10166.69,90001.60557,917578408.9,1476782
1.60E+12,2020-09-04 00:00,BTC/USDT,10138.29,10627.05,9875.5,10446.25,92733.59911,959925718.4,1434860
1.60E+12,2020-09-03 00:00,BTC/USDT,11388.54,11462.6,9960.8,10140.85,121950.106,1325106403,1611610
1.60E+12,2020-09-02 00:00,BTC/USDT,11921.97,11954.57,11160.1,11388.54,87221.8456,1005391012,1373524
1.60E+12,2020-09-01 00:00,BTC/USDT,11649.51,12050.85,11515,11921.97,78148.19367,928047313.5,1321492
1.60E+12,2020-08-31 00:00,BTC/USDT,11711.17,11800.77,11570,11649.51,55353.61774,646723855.6,822062
